seed,history_length,representation,split,horizon,signal,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,4,persistence,test,16,sine,ok,14,224,0.05405886741813946,0.07408005344690441,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,7.45e-06,0.8735752395281415
228973438714350052,4,raw_ar,test,16,sine,ok,14,224,0.015878680181613574,0.01561869959741941,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093837,2.974081442115318
228973438714350052,4,raw_matched,test,16,sine,ok,14,224,0.07775124202123256,0.11587374816138543,15.714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,1.0,28.0,28.0,224.0,28.0,87,0.00189545,0.6073792112610241
228973438714350052,4,vectorchain_absolute,test,16,sine,ok,14,224,0.047229090061518327,0.05804333726699743,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,43.142857142857146,63,0.0027062500000000003,0.999902559882244
228973438714350052,4,vectorchain_cartesian,test,16,sine,ok,14,224,0.050489281252692184,0.057927821134971594,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,43.142857142857146,39,0.00275205,0.9353369048188446
228973438714350052,4,vectorchain_relational,test,16,sine,ok,14,224,0.04722448805342122,0.05802964970056113,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,43.142857142857146,87,0.0027505,1.0
228973438714350052,4,fixed_relational,test,64,chirp,ok,14,896,0.5465885945393232,0.6043494562207032,11.714285714285714,0.0,0.21428571428571427,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.001734,0.792874435422542
228973438714350052,4,persistence,test,64,chirp,ok,14,896,0.5825722657241893,0.917370569558563,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5e-06,0.7439010553738623
228973438714350052,4,raw_ar,test,64,chirp,ok,14,896,0.38179063283661946,0.6656993249582807,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093874,1.1351146047871274
228973438714350052,4,raw_matched,test,64,chirp,ok,14,896,2.791438909513873,4.190985517490068,20.571428571428573,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0020123,0.15525187451773348
228973438714350052,4,vectorchain_absolute,test,64,chirp,ok,14,896,0.43338082172375,0.7221677905725249,18.857142857142858,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,51.642857142857146,63,0.00267425,0.9999891586804309
228973438714350052,4,vectorchain_cartesian,test,64,chirp,ok,14,896,0.44694081737174673,0.7431501402978988,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,51.642857142857146,39,0.0026991999999999997,0.9696499099192867
228973438714350052,4,vectorchain_relational,test,64,chirp,ok,14,896,0.43337612330376657,0.7221675765644827,18.857142857142858,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,51.642857142857146,87,0.0026984,1.0
228973438714350052,4,fixed_relational,test,64,first_order_response,ok,10,640,0.5451973970352787,0.8806485379850623,15.9,0.0,0.4,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.00233145,0.08301914209784247
228973438714350052,4,persistence,test,64,first_order_response,ok,10,640,0.021261570110176996,0.01786534815971059,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.5e-06,2.128808923390882
228973438714350052,4,raw_ar,test,64,first_order_response,ok,10,640,0.027526531441091125,0.032665017898766004,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.009466249999999999,1.6442979847537054
228973438714350052,4,raw_matched,test,64,first_order_response,ok,10,640,0.1323090139845422,0.26483873935970353,24.2,0.5,0.5,0.5,1.0,1.0,28.0,28.0,224.0,28.0,87,0.00283865,0.3420917351945018
228973438714350052,4,vectorchain_absolute,test,64,first_order_response,ok,10,640,0.045267716741728525,0.05266199424071381,19.0,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,55.5,63,0.0026666,0.9998697401524242
228973438714350052,4,vectorchain_cartesian,test,64,first_order_response,ok,10,640,0.029197705369229932,0.02937917089883809,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,55.5,39,0.00270435,1.5501841532912006
228973438714350052,4,vectorchain_relational,test,64,first_order_response,ok,10,640,0.045261820175845645,0.05265418476671283,19.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,55.5,87,0.0027508000000000003,1.0
228973438714350052,4,fixed_relational,test,64,piecewise_linear,ok,11,704,0.21232531292737347,0.3963550660368432,14.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0020954,0.2240666531189069
228973438714350052,4,persistence,test,64,piecewise_linear,ok,11,704,0.05865951898703798,0.09173574360977634,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.4e-06,0.8110366921108545
