history_length,representation,split,horizon,n_seeds,trajectory_rmse_geomean,candidate_rmse_ratio_vs_control_geomean,postprojection_valid_rate_mean,rollout_completion_rate_mean,mean_input_steps,mean_input_scalar_elements,n_predictive_parameters
16,vectorchain_relational,validation,16,5,0.10139180403295753,1.0,1.0,1.0,16.0,112.0,339
16,fixed_relational,validation,64,5,101101336069.19678,3.2305966283240193e-12,1.0,1.0,16.0,112.0,339
16,persistence,validation,64,5,0.3250597143529108,1.0047927226983213,1.0,1.0,1.0,1.0,0
16,raw_ar,validation,64,5,0.13611682301841302,2.3995390737265234,1.0,1.0,112.0,112.0,113
16,raw_matched,validation,64,5,12.957453766904592,0.025206930412395794,1.0,1.0,112.0,112.0,339
16,vectorchain_absolute,validation,64,5,0.32669044579219564,0.9997771273420036,1.0,1.0,16.0,80.0,243
16,vectorchain_cartesian,validation,64,5,0.32745160382049976,0.9974531552554037,1.0,1.0,16.0,48.0,147
16,vectorchain_relational,validation,64,5,0.32661763542419986,1.0,1.0,1.0,16.0,112.0,339
16,fixed_relational,validation,128,5,3.3639209449926586e+27,1.7625159531230508e-28,1.0,1.0,16.0,112.0,339
16,persistence,validation,128,5,0.5837552492571193,1.0156592746942341,1.0,1.0,1.0,1.0,0
16,raw_ar,validation,128,5,0.3694075669768462,1.6049926586820553,1.0,1.0,112.0,112.0,113
16,raw_matched,validation,128,5,2029.9333675208934,0.00029207679549774,1.0,1.0,112.0,112.0,339
16,vectorchain_absolute,validation,128,5,0.5929117561722541,0.999974156166315,1.0,1.0,16.0,80.0,243
16,vectorchain_cartesian,validation,128,5,0.600229867452753,0.9877822901008962,1.0,1.0,16.0,48.0,147
16,vectorchain_relational,validation,128,5,0.5928964330594377,1.0,1.0,1.0,16.0,112.0,339
