seed,horizon,context_length,tolerance,variant,features,n_examples,step_signature_sha256,matches_reference
2718,16,128,0.1,turning,"dt,dy,theta,r,delta_theta",1547,12de24c55dc2d621a45e087863c87a39c0c7505ed104bb8bcbc1e5732c9ee5f9,True
2718,16,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1547,12de24c55dc2d621a45e087863c87a39c0c7505ed104bb8bcbc1e5732c9ee5f9,True
31415,1,32,0.1,segment,"dt,dy",1736,b3bd91127741b1127af575337a2ff78e86207f67cae88487656ded148da15b79,True
31415,1,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,b3bd91127741b1127af575337a2ff78e86207f67cae88487656ded148da15b79,True
31415,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,b3bd91127741b1127af575337a2ff78e86207f67cae88487656ded148da15b79,True
31415,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,b3bd91127741b1127af575337a2ff78e86207f67cae88487656ded148da15b79,True
31415,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,b3bd91127741b1127af575337a2ff78e86207f67cae88487656ded148da15b79,True
31415,4,32,0.1,segment,"dt,dy",1736,c3439fdbf7a238b1302302f83ad500cc8faf81a5f14fe6c89c3f983558f9950c,True
31415,4,32,0.1,absolute_geometry,"dt,dy,theta,r",1736,c3439fdbf7a238b1302302f83ad500cc8faf81a5f14fe6c89c3f983558f9950c,True
31415,4,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1736,c3439fdbf7a238b1302302f83ad500cc8faf81a5f14fe6c89c3f983558f9950c,True
31415,4,32,0.1,turning,"dt,dy,theta,r,delta_theta",1736,c3439fdbf7a238b1302302f83ad500cc8faf81a5f14fe6c89c3f983558f9950c,True
31415,4,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1736,c3439fdbf7a238b1302302f83ad500cc8faf81a5f14fe6c89c3f983558f9950c,True
31415,16,32,0.1,segment,"dt,dy",1715,2aaf406693f14aa45e2e25430555989b31fdc12c940f910ab8acefb099e0f0cb,True
31415,16,32,0.1,absolute_geometry,"dt,dy,theta,r",1715,2aaf406693f14aa45e2e25430555989b31fdc12c940f910ab8acefb099e0f0cb,True
31415,16,32,0.1,turning_matched,"dt,dy,theta,delta_theta",1715,2aaf406693f14aa45e2e25430555989b31fdc12c940f910ab8acefb099e0f0cb,True
31415,16,32,0.1,turning,"dt,dy,theta,r,delta_theta",1715,2aaf406693f14aa45e2e25430555989b31fdc12c940f910ab8acefb099e0f0cb,True
31415,16,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1715,2aaf406693f14aa45e2e25430555989b31fdc12c940f910ab8acefb099e0f0cb,True
