condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,signal,n_examples,mae,rmse,rmse_ratio_vs_reference
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,sine,51,0.011713656733245342,0.014908015208120524,0.9999332101168201
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,chirp,51,0.013188990950204203,0.016647928338222415,0.9415673083517395
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,ramp,51,0.011463940326442651,0.013929834243791635,0.9999055058594091
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,piecewise_linear,51,0.014190457901105643,0.017314875174653604,1.0000136891413907
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,first_order_response,51,0.010608707745658372,0.014047051071344347,0.999935204898176
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,second_order_response,51,0.010937901818832765,0.01381314960465804,1.0001034407123592
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,regime_change,51,0.016481205808518314,0.02160798719963632,1.0455711008791446
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,sine,51,0.01133925763843724,0.014783228326786534,1.0001851353110685
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,chirp,51,0.01689349288671055,0.020695101518166104,1.0023431511366918
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,ramp,51,0.011384359638744034,0.01415618668701083,1.0000808965551558
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,piecewise_linear,51,0.009338398470237555,0.01093949011023917,1.0001405350451813
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,first_order_response,51,0.010449717704364486,0.012497083845972633,1.0001536934438913
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,second_order_response,51,0.011313660856548963,0.014222724090888098,1.0000473194579382
seed-1729__h-1__c-32__full_relational,1729,1,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,regime_change,51,0.018781122245567262,0.023393806944192214,0.9013542479197277
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,sine,51,0.014499984499416668,0.017795077747970064,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,chirp,51,0.03411020673704572,0.040053294352207364,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,ramp,51,0.009839968294815432,0.012464863874844929,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,piecewise_linear,51,0.012682756659807054,0.016424244868584903,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,first_order_response,51,0.013814341809094986,0.016680175935559125,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,second_order_response,51,0.013460376946425035,0.016377064506552682,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,validation,regime_change,51,0.06670112287618629,0.07585199247150513,
seed-1729__h-4__c-32__raw,1729,4,32,,,,baseline,raw,test,sine,52,0.014260216376213778,0.018109924695079275,
