representation,variant,features,role,split,horizon,context_length,tolerance,signal,n_seeds,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_reference_mean,rmse_ratio_vs_reference_median
first_difference,,,baseline,test,1,64,,ramp,5,0.010232108884984006,0.010524487754158601,0.012547697104072556,0.013065130302660532,0.012103885186191436,0.01330667837065006,0.010616217615883682,0.013646574044977072,,
first_difference,,,baseline,test,1,64,,regime_change,5,0.045102620795400256,0.04530820413887062,0.05127621005155306,0.05115262014240479,0.05030897347258713,0.053425641365017665,0.047422219342758205,0.0540715959349975,,
first_difference,,,baseline,test,1,64,,second_order_response,5,0.010205956976174347,0.010165974648030051,0.012930027275282474,0.012338232671729819,0.011954550571284658,0.013660532762564492,0.01137239808519507,0.015324422285638331,,
first_difference,,,baseline,test,1,64,,sine,5,0.012603254630861371,0.011979321472475107,0.015973939443856312,0.015363575562806238,0.015040938010452714,0.0164515647613449,0.01503888032465903,0.0179747385600187,,
first_difference,,,baseline,test,1,128,,chirp,5,0.032767130904499286,0.03212913548233515,0.03771898772203795,0.03690169647173633,0.03639996870320099,0.03906875247035795,0.03580320663877985,0.04042131432611465,,
first_difference,,,baseline,test,1,128,,first_order_response,5,0.011203703978338397,0.010226610820123737,0.01356825056418932,0.013392911622693847,0.012240721030342417,0.014892834702265883,0.011351137994460154,0.015963647471184315,,
first_difference,,,baseline,test,1,128,,piecewise_linear,5,0.010888033832717598,0.010710258773888445,0.013240798105539723,0.013200190639552033,0.011795781643622464,0.014553665534823878,0.010890293345290503,0.015764059364409735,,
first_difference,,,baseline,test,1,128,,ramp,5,0.010939826780216969,0.011158844340981366,0.013423232315348041,0.013763934528811871,0.013109214866546455,0.013904365694907791,0.01137165946999625,0.01496698701647784,,
first_difference,,,baseline,test,1,128,,regime_change,5,0.03454147636012899,0.03600659700360149,0.0392342765349651,0.04075593234091536,0.039288948377800476,0.041075283070658004,0.03385847966897081,0.041192739216480825,,
first_difference,,,baseline,test,1,128,,second_order_response,5,0.010854659173559234,0.010376583762886193,0.013671079586118828,0.012979875794106996,0.01249746654642581,0.014236482951091747,0.012192367993911579,0.01644920464505802,,
first_difference,,,baseline,test,1,128,,sine,5,0.015986180013244866,0.016423953039604137,0.019873875731785885,0.020133974841952798,0.018704759485477493,0.020321063039824654,0.01813406329596035,0.022075517995714132,,
first_difference,,,baseline,test,4,32,,chirp,5,0.08319919151561433,0.08391300288387334,0.09376561602969856,0.09400754093880637,0.09365759999969357,0.0947867263725535,0.09151005972569388,0.09486615311174545,,
first_difference,,,baseline,test,4,32,,first_order_response,5,0.01202966881792677,0.012142436002255728,0.015143591636524767,0.015202468269831617,0.01353112997642523,0.016268784584834314,0.011991551235792677,0.018724024115739993,,
first_difference,,,baseline,test,4,32,,piecewise_linear,5,0.011564503534780907,0.01192928409742585,0.014456632978733014,0.014435727430695582,0.01382502164571395,0.015536743999451014,0.012937962500772086,0.015547709317032431,,
first_difference,,,baseline,test,4,32,,ramp,5,0.010721785729024519,0.010461544478296954,0.013261095418179497,0.013703587172204748,0.012105407538280086,0.014249059761940248,0.010211738114436446,0.016035684504035953,,
first_difference,,,baseline,test,4,32,,regime_change,5,0.1029695215322168,0.10294018863726456,0.11371569252482268,0.11359764831245096,0.1122113316079615,0.11503106825157526,0.11173079239847798,0.1160076220536477,,
first_difference,,,baseline,test,4,32,,second_order_response,5,0.012499162668008235,0.012376717453224845,0.015613333471470398,0.01594438605100599,0.015541843151055642,0.016119133363912283,0.014153421003776454,0.016307883787601625,,
first_difference,,,baseline,test,4,32,,sine,5,0.01865892494526928,0.01874845753778755,0.022822788983810464,0.023109555725616255,0.022611762854490288,0.023304749898702,0.02136006838627049,0.023727808053973277,,
first_difference,,,baseline,test,4,64,,chirp,5,0.11383463883664931,0.11475330426800179,0.1292278553677633,0.13021880310757425,0.12840837344980294,0.13062122489386213,0.1252057011928646,0.1316851741947126,,
first_difference,,,baseline,test,4,64,,first_order_response,5,0.014679834772749973,0.01399135908378175,0.018468921625993655,0.017099246575774864,0.016994313166316485,0.020866683996467728,0.014848661801629973,0.022535702589779223,,
first_difference,,,baseline,test,4,64,,piecewise_linear,5,0.014097579925624262,0.013844716384649266,0.017740928074221545,0.017245864319946624,0.01694112690393926,0.018482535474701058,0.016362284466429778,0.019672829206091015,,
first_difference,,,baseline,test,4,64,,ramp,5,0.01334012891494124,0.013625538960093176,0.016405720038799112,0.01610177925222955,0.01541427020139693,0.017911082814850824,0.012795952416414886,0.019805515509103373,,
first_difference,,,baseline,test,4,64,,regime_change,5,0.14016066821219034,0.14016230435968213,0.15749803007764354,0.15784725837479588,0.15693542438471186,0.15810181065807602,0.1560457481507383,0.1585599088198956,,
first_difference,,,baseline,test,4,64,,second_order_response,5,0.015143016061769751,0.015572300797585493,0.018806935868993575,0.019324524509751927,0.018263800597375722,0.019531381487905196,0.017342442607819145,0.019572530142115893,,
first_difference,,,baseline,test,4,64,,sine,5,0.028625192181595604,0.02851661817577432,0.034518439495470385,0.03472571253706931,0.034572394195955404,0.034749500699791255,0.03307693103885334,0.035467659005682634,,
first_difference,,,baseline,test,4,128,,chirp,5,0.09752707637532186,0.0980137115600853,0.11155957535205521,0.11274806607965909,0.10894688437259333,0.11297956767366005,0.10708767181283005,0.11603568682153345,,
