representation,role,causal_scope,split,horizon,context_length,signal,n_seeds,rmse_mean,rmse_median,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median
local_geometry,primary_control,strict_online,validation,16,32,regime_change,5,0.5313509672332507,0.5359024951513129,0.7557012659089647,0.5802196586141877
local_geometry,primary_control,strict_online,validation,16,32,second_order_response,5,0.03390082647070489,0.03335408782369283,0.6867964956083169,0.6694294298363143
local_geometry,primary_control,strict_online,validation,16,32,sine,5,0.10143108896513116,0.10209350958498142,0.9399716132642315,0.9443990499521572
local_geometry,primary_control,strict_online,validation,16,64,chirp,5,0.41944583464588386,0.41414819382703955,0.3480376541573803,0.33861053742391306
local_geometry,primary_control,strict_online,validation,16,64,first_order_response,5,0.04892746719375844,0.04503896830148408,0.35294763231436976,0.33448516542054557
local_geometry,primary_control,strict_online,validation,16,64,piecewise_linear,5,0.058296326819709296,0.057092581047662724,0.7728513821395584,0.7516701008779316
local_geometry,primary_control,strict_online,validation,16,64,ramp,5,0.04336517470870812,0.044590968080678285,0.36815802122681945,0.37638214027754074
local_geometry,primary_control,strict_online,validation,16,64,regime_change,5,0.6517080628207265,0.6492099288612055,0.5536734277687667,0.5610115905541683
local_geometry,primary_control,strict_online,validation,16,64,second_order_response,5,0.04858947649498237,0.04650233782705834,0.48993009276415866,0.5067203913090317
local_geometry,primary_control,strict_online,validation,16,64,sine,5,0.14401385284825388,0.14402011216718769,0.4721528212230609,0.45993913615383214
local_geometry,primary_control,strict_online,validation,16,128,chirp,5,0.36835301808362475,0.37475817019716035,0.4655885403987906,0.45503944181080025
local_geometry,primary_control,strict_online,validation,16,128,first_order_response,5,0.07336465073000172,0.07102907399186373,0.21726129090615567,0.21469870315357162
local_geometry,primary_control,strict_online,validation,16,128,piecewise_linear,5,0.0831989747298262,0.07855210137394697,0.5172855949258839,0.5169723837640117
local_geometry,primary_control,strict_online,validation,16,128,ramp,5,0.06673661651368067,0.0674393228323062,0.2280538110915876,0.22440648688225845
local_geometry,primary_control,strict_online,validation,16,128,regime_change,5,0.5755037201569655,0.5639867869571054,0.7282722035896512,0.7236877790728621
local_geometry,primary_control,strict_online,validation,16,128,second_order_response,5,0.07323227173488685,0.07324083213325151,0.5014279403423793,0.5008612764493322
local_geometry,primary_control,strict_online,validation,16,128,sine,5,0.1777909999750123,0.17863781478684745,0.4114867321005839,0.385950080228157
