condition_id,seed,horizon,context_length,tolerance,role,causal_scope,selected_parameter,representation,split,signal,n_examples,mae,rmse,candidate_rmse_ratio_vs_control
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,sine,51,0.01106932549635441,0.014513258190505862,1.0184130773256144
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,chirp,51,0.021133296199522037,0.025349183322955618,0.8144926352206647
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,ramp,51,0.011469009650629509,0.014288728805955192,0.9906438693838462
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,piecewise_linear,51,0.009471823770114114,0.011050834214822534,0.9897852715821938
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,first_order_response,51,0.010656455214928228,0.012582024845943078,0.9930963874469971
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,second_order_response,51,0.011288773060346336,0.014212639896184716,1.0006621721948052
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,test,regime_change,51,0.024859989227213285,0.030210828464417794,0.8590980965230264
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,validation,sine,51,0.010621615941405076,0.01390444629052153,1.0722477305252653
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,validation,chirp,51,0.019255091018508058,0.02260436322380559,0.782197726509477
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,validation,ramp,51,0.009777152545091958,0.012293585355506838,1.1332048587160075
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,validation,piecewise_linear,51,0.012421314907824466,0.015007054829334126,1.1537665683928253
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,validation,first_order_response,51,0.008519883086120734,0.011897098827686328,1.180788822039216
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,validation,second_order_response,51,0.008918323625766106,0.011055851867566748,1.2492679058884626
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,validation,regime_change,51,0.0340468185034103,0.03827634859244935,0.5399210276199702
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,test,sine,51,0.009466646747645753,0.012832537272041651,1.1517980912486125
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,test,chirp,51,0.02815069907267641,0.03344026125744492,0.6174211070438093
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,test,ramp,51,0.010356792538645848,0.012609563577115733,1.1225639576136426
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,test,piecewise_linear,51,0.008032563878795113,0.00981764564383899,1.1141116048929687
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,test,first_order_response,51,0.008623106986891465,0.010637024357622444,1.174685983709387
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,test,second_order_response,51,0.010046684661056368,0.012997129705712932,1.0942455321414082
seed-1729__h-1__c-32__ewma_geometry,1729,1,32,,causal_control,strict_online,0.8,ewma_geometry,test,regime_change,51,0.035291399154790015,0.040326630419797754,0.6435961784553969
seed-1729__h-1__c-32__fixed_geometry,1729,1,32,,causal_control,forecast_causal_fixed_boundaries,32,fixed_geometry,validation,sine,51,0.011479506193673106,0.014775098075963689,1.0090634189072705
