condition_id,seed,horizon,context_length,tolerance,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes
seed-1729__h-16__c-64__tol-0p1__vectorchain,1729,16,64,0.1,vectorchain,test,ok,,,364,5,15,16,1.6868131868131868,8.434065934065934,67.47252747252747,37.9413680781759,7.588273615635179,0.08650610505879888,0.16146420973170234,0.5734033216181584,True,True,True,True,1.3534154,0.0004355,0.0004355,0.0004355,3.84e-05,3.84e-05,3.84e-05,112560,368
seed-1729__h-1__c-128__tol-na__raw,1729,1,128,,raw,validation,ok,,,357,1,3,4,128.0,128.0,1024.0,1.0,1.0,0.01580220975938122,0.021101774912132262,1.0,,,,,0.0561739,0.0002315,0.0002315,0.0002315,2.7e-05,2.7e-05,2.7e-05,20496,80
seed-1729__h-1__c-128__tol-na__raw,1729,1,128,,raw,test,ok,,,357,1,3,4,128.0,128.0,1024.0,1.0,1.0,0.016780061727958658,0.022899832935210612,1.0,,,,,0.0561739,0.0002315,0.0002315,0.0002315,2.86e-05,2.86e-05,2.86e-05,20496,80
seed-1729__h-1__c-128__tol-na__first_difference,1729,1,128,,first_difference,validation,ok,,,357,1,3,4,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,0.016745246613906625,0.022358497546242306,1.0595553046766462,,,,,0.104256,0.0002232,0.0002232,0.0002232,2.79e-05,2.79e-05,2.79e-05,20496,80
seed-1729__h-1__c-128__tol-na__first_difference,1729,1,128,,first_difference,test,ok,,,357,1,3,4,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,0.017293883817230123,0.023420996899442305,1.0227584177450637,,,,,0.104256,0.0002232,0.0002232,0.0002232,3.04e-05,3.04e-05,3.04e-05,20496,80
seed-1729__h-1__c-128__tol-0p01__vectorchain,1729,1,128,0.01,vectorchain,validation,ok,,,357,5,15,16,67.56302521008404,337.8151260504202,2702.5210084033615,1.8945273631840795,0.3789054726368159,0.015532151421413823,0.020554955346065995,0.974086560569278,True,False,False,False,8.4344934,0.0003862,0.0003862,0.0003862,4.38e-05,4.38e-05,4.38e-05,102480,368
seed-1729__h-1__c-128__tol-0p01__vectorchain,1729,1,128,0.01,vectorchain,test,ok,,,357,5,15,16,66.5798319327731,332.89915966386553,2663.1932773109243,1.9225041019815727,0.38450082039631456,0.01578755882649518,0.021294226415744376,0.9298856666767439,True,False,False,False,8.4344934,0.0003862,0.0003862,0.0003862,3.73e-05,3.73e-05,3.73e-05,102480,368
seed-1729__h-1__c-128__tol-0p03__vectorchain,1729,1,128,0.03,vectorchain,validation,ok,,,357,5,15,16,11.1484593837535,55.74229691876751,445.93837535014006,11.48140703517588,2.296281407035176,0.015055446157112202,0.019527850955816693,0.9254127217795951,True,True,True,True,3.1485867,0.0004094,0.0004094,0.0004094,4.01e-05,4.01e-05,4.01e-05,102480,368
seed-1729__h-1__c-128__tol-0p03__vectorchain,1729,1,128,0.03,vectorchain,test,ok,,,357,5,15,16,11.056022408963585,55.280112044817926,442.2408963585434,11.577400557385356,2.315480111477071,0.01583605717664799,0.021013425998623745,0.9176235502711314,True,True,True,True,3.1485867,0.0004094,0.0004094,0.0004094,4.16e-05,4.16e-05,4.16e-05,102480,368
seed-1729__h-1__c-128__tol-0p1__vectorchain,1729,1,128,0.1,vectorchain,validation,ok,,,357,5,15,16,2.630252100840336,13.15126050420168,105.21008403361344,48.66453674121406,9.732907348242811,0.012958221107515563,0.016494284367592912,0.7816538862856357,True,True,True,True,2.6273199,0.0005083,0.0005083,0.0005083,4.35e-05,4.35e-05,4.35e-05,102480,368
