condition_id,seed,horizon,context_length,tolerance,representation,split,signal,n_examples,mae,rmse
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,sine,51,0.06636126628948782,0.07825363791720703
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,chirp,51,0.25356454363382963,0.28492377156699816
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,ramp,51,0.04301089909416471,0.051034510958804645
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,piecewise_linear,51,0.0407173573469761,0.05177547834105012
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,first_order_response,51,0.03333701562874225,0.04529982546266626
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,second_order_response,51,0.032516747966053694,0.038090072999654674
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,validation,regime_change,51,0.4216071520420431,0.4874492373178814
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,sine,52,0.08256671835243382,0.09804559939491782
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,chirp,52,0.3407239421242154,0.3968868056750655
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,ramp,52,0.02587780844607762,0.03144035895319275
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,piecewise_linear,52,0.03692627405112886,0.043763419310755086
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,first_order_response,52,0.03566320815920899,0.04643701156746464
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,second_order_response,52,0.03955477058229166,0.04733780940620087
seed-1729__h-16__c-32__tol-0p01__vectorchain,1729,16,32,0.01,vectorchain,test,regime_change,52,0.3977910777324444,0.4709876133915542
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,sine,51,0.08927775141466905,0.09968152592474883
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,chirp,51,0.26783530700652736,0.30373368061225503
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,ramp,51,0.019936236321433005,0.025004017098981056
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,piecewise_linear,51,0.0426929962106869,0.05998959169345867
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,first_order_response,51,0.027371591367020207,0.04350162082585291
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,second_order_response,51,0.028347666339097563,0.03564184386570239
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,validation,regime_change,51,0.39316130322689546,0.4624645314486771
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,sine,52,0.09815420018859296,0.11368796191827768
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,chirp,52,0.29193341427480674,0.34584311581930716
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,ramp,52,0.02350568011367023,0.0284096825568117
seed-1729__h-16__c-32__tol-0p03__vectorchain,1729,16,32,0.03,vectorchain,test,piecewise_linear,52,0.03620709194106139,0.04592070365156922
