representation,split,horizon,context_length,tolerance,n_seeds,n_successes,n_failures,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_raw_mean,rmse_ratio_vs_raw_median,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw_mean,scalar_reduction_factor_vs_raw_mean,predictive_parity_rate,structural_reduction_success_rate,payload_reduction_success_rate,joint_success_rate,robust_cell,representation_runtime_median_s
first_difference,validation,1,128,,5,5,0,0.01832863028825953,0.01832547824715123,0.024439199914772593,0.025099143678640537,0.023879733583002893,0.0251541397619862,0.022358497546242306,0.02570448500399102,1.082254412218877,1.084710515411006,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,,,,,,0.0627741
first_difference,validation,4,32,,5,5,0,0.0329855184456722,0.032875119117388725,0.05211254474817428,0.05210197574868698,0.0520039699574121,0.05230000436019703,0.05126895368689104,0.052887819987684284,1.4689309269945692,1.4781507371809848,31.0,31.0,248.0,1.032258064516129,1.032258064516129,,,,,,0.0682771
first_difference,validation,4,64,,5,5,0,0.046282847651995404,0.04611913647138726,0.07443415977393042,0.07427851461755108,0.07423204127731874,0.0751317330923172,0.07271193283847736,0.0758165770439877,1.3272723800556778,1.3272078335358972,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,,,,,,0.0660366
first_difference,validation,4,128,,5,5,0,0.0458103553678244,0.04567476097381351,0.06696671877330751,0.06703325020004686,0.06565157648187069,0.06751529070143478,0.06528029161317034,0.06935318487001489,0.9046351134721377,0.9085208091665455,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,,,,,,0.0605796
first_difference,validation,16,32,,5,5,0,0.1360579476025905,0.13641610166428808,0.23654502115773504,0.23749190425086927,0.234607486873131,0.23774540663251206,0.2340959623511985,0.23878434568096443,1.322940833735934,1.3213689174330794,31.0,31.0,248.0,1.032258064516129,1.032258064516129,,,,,,0.0709822
first_difference,validation,16,64,,5,5,0,0.17543287237202493,0.17511093861814844,0.29664067760404056,0.29674669288827643,0.2944211660148961,0.29894794009190445,0.29081708777684423,0.3022705012482816,1.1381392249607352,1.1348841779232934,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,,,,,,0.0649838
first_difference,validation,16,128,,5,5,0,0.16483807351237606,0.16281805938382746,0.2531594079427052,0.25331020022096534,0.24572423735350973,0.2600635091239394,0.24551094111706434,0.26118815189804706,0.846939927767778,0.8499104551161244,127.0,127.0,1016.0,1.0078740157480315,1.0078740157480315,,,,,,0.0588103
raw,test,1,32,,5,5,0,0.012895359135651863,0.012792032756953415,0.01620090461462778,0.016097761603595707,0.016090501905939573,0.016248629368978786,0.015328159907243568,0.017239470287381264,1.0,1.0,32.0,32.0,256.0,1.0,1.0,,,,,,0.0604542
raw,test,1,64,,5,5,0,0.015316844083917194,0.015014720083066676,0.01997238470744773,0.019772766415493043,0.019731275983390667,0.019919906342916176,0.01919115887356014,0.02124681592187863,1.0,1.0,64.0,64.0,512.0,1.0,1.0,,,,,,0.0592718
raw,test,1,128,,5,5,0,0.017448286183830108,0.017415340174427075,0.0233009695334288,0.02291719282907656,0.022899832935210612,0.023496071747173494,0.022690235192185753,0.024501514963497565,1.0,1.0,128.0,128.0,1024.0,1.0,1.0,,,,,,0.056041
raw,test,4,32,,5,5,0,0.027186223000605858,0.027164601556516663,0.03961351913699983,0.03948178938534824,0.03945943222188889,0.039680665465761586,0.03919337246111951,0.04025233615088091,1.0,1.0,32.0,32.0,256.0,1.0,1.0,,,,,,0.0607595
raw,test,4,64,,5,5,0,0.038523049512467496,0.03844589509166227,0.06271091281694605,0.06256652873905928,0.06256543172248372,0.06274672703883584,0.06246709637547718,0.06320878020887422,1.0,1.0,64.0,64.0,512.0,1.0,1.0,,,,,,0.0595516
raw,test,4,128,,5,5,0,0.04726488494245157,0.047281231265162066,0.07764372670240961,0.07751448676320012,0.07750896413382904,0.07769169087645689,0.07745543912480651,0.07804805261375553,1.0,1.0,128.0,128.0,1024.0,1.0,1.0,,,,,,0.0564268
raw,test,16,32,,5,5,0,0.11653066666015162,0.11654824382041126,0.20406015333926045,0.20406021512480174,0.20393689481290148,0.20459283347257906,0.20300661511911278,0.20470420816690732,1.0,1.0,32.0,32.0,256.0,1.0,1.0,,,,,,0.0611323
raw,test,16,64,,5,5,0,0.15353267280147226,0.15352420316733645,0.28157911464839996,0.28158924729638174,0.28134932511040894,0.28210383130068134,0.28071755115641045,0.2821356183781174,1.0,1.0,64.0,64.0,512.0,1.0,1.0,,,,,,0.0581749
