signal,signal_seed,tolerance,phase,repetition,duration_s
regime_change,4695181564452026195,0.001,reconstruction,3,0.0048631
regime_change,4695181564452026195,0.001,transform,4,0.2302264
regime_change,4695181564452026195,0.001,reconstruction,4,0.0043414
regime_change,4695181564452026195,0.003,transform,0,0.2338638
regime_change,4695181564452026195,0.003,reconstruction,0,0.0039767
regime_change,4695181564452026195,0.003,transform,1,0.1854314
regime_change,4695181564452026195,0.003,reconstruction,1,0.0039844
regime_change,4695181564452026195,0.003,transform,2,0.1854603
regime_change,4695181564452026195,0.003,reconstruction,2,0.0042684
regime_change,4695181564452026195,0.003,transform,3,0.1874445
regime_change,4695181564452026195,0.003,reconstruction,3,0.0039485
regime_change,4695181564452026195,0.003,transform,4,0.1907865
regime_change,4695181564452026195,0.003,reconstruction,4,0.0041615
regime_change,4695181564452026195,0.01,transform,0,0.096904
regime_change,4695181564452026195,0.01,reconstruction,0,0.0033673
regime_change,4695181564452026195,0.01,transform,1,0.0902588
regime_change,4695181564452026195,0.01,reconstruction,1,0.0041693
regime_change,4695181564452026195,0.01,transform,2,0.0917538
regime_change,4695181564452026195,0.01,reconstruction,2,0.0026002
regime_change,4695181564452026195,0.01,transform,3,0.0891295
regime_change,4695181564452026195,0.01,reconstruction,3,0.0027592
regime_change,4695181564452026195,0.01,transform,4,0.0909717
regime_change,4695181564452026195,0.01,reconstruction,4,0.0026561
regime_change,4695181564452026195,0.03,transform,0,0.0163926
regime_change,4695181564452026195,0.03,reconstruction,0,0.0005886
regime_change,4695181564452026195,0.03,transform,1,0.0167679
regime_change,4695181564452026195,0.03,reconstruction,1,0.0005756
regime_change,4695181564452026195,0.03,transform,2,0.0173906
regime_change,4695181564452026195,0.03,reconstruction,2,0.0005729
regime_change,4695181564452026195,0.03,transform,3,0.0164006
regime_change,4695181564452026195,0.03,reconstruction,3,0.0005829
regime_change,4695181564452026195,0.03,transform,4,0.0170465
regime_change,4695181564452026195,0.03,reconstruction,4,0.0005741
regime_change,4695181564452026195,0.1,transform,0,0.0128505
regime_change,4695181564452026195,0.1,reconstruction,0,0.0002171
regime_change,4695181564452026195,0.1,transform,1,0.0123782
regime_change,4695181564452026195,0.1,reconstruction,1,0.0002182
regime_change,4695181564452026195,0.1,transform,2,0.0122071
regime_change,4695181564452026195,0.1,reconstruction,2,0.0002132
regime_change,4695181564452026195,0.1,transform,3,0.0125828
regime_change,4695181564452026195,0.1,reconstruction,3,0.0002158
regime_change,4695181564452026195,0.1,transform,4,0.0134994
regime_change,4695181564452026195,0.1,reconstruction,4,0.0002152
